Flow STRESS 
Sigma 	   Epsilon 	  strain_rate 	  Temperature 
6.274837E+02	0.000000E+00	1.000000E-03	2.000000E+01
8.674556E+02	1.000000E-01	1.000000E-03	2.000000E+01
5.726177E+02	0.000000E+00	1.000000E-04	2.000000E+01
7.916069E+02	1.000000E-01	1.000000E-04	2.000000E+01
5.177517E+02	0.000000E+00	1.000000E-05	2.000000E+01
7.157582E+02	1.000000E-01	1.000000E-05	2.000000E+01
4.628857E+02	0.000000E+00	1.000000E-06	2.000000E+01
6.399095E+02	1.000000E-01	1.000000E-06	2.000000E+01
